Grupo,PERIODO,BEL,BRUTO,NETO,IRR,PND_real,IS_eff,g,mr,c,PE,TC,Año,ces,PR,dBRUTO_real,dNETO_real,PD_tom_real,PD_ret_real,PND_NT_reg_m,BRUTO_NT_reg_m,NETO_NT_reg_m,dBRUTO_NT_reg_m,dNETO_NT_reg_m,PD_tom_NT_reg_m,PD_ret_NT_reg_m,PND_NT_reg_t,BRUTO_NT_reg_t,NETO_NT_reg_t,dBRUTO_NT_reg_t,dNETO_NT_reg_t,PD_tom_NT_reg_t,PD_ret_NT_reg_t,PND_NT_reg_susc,BRUTO_NT_reg_susc,NETO_NT_reg_susc,dBRUTO_NT_reg_susc,dNETO_NT_reg_susc,PD_tom_NT_reg_susc,PD_ret_NT_reg_susc,PND_MEC_pub,BRUTO_MEC_pub,NETO_MEC_pub,dBRUTO_MEC_pub,dNETO_MEC_pub,PD_tom_MEC_pub,PD_ret_MEC_pub,PND_MEC_prop,BRUTO_MEC_prop,NETO_MEC_prop,dBRUTO_MEC_prop,dNETO_MEC_prop,PD_tom_MEC_prop,PD_ret_MEC_prop,PND_MEC_reg,BRUTO_MEC_reg,NETO_MEC_reg,dBRUTO_MEC_reg,dNETO_MEC_reg,PD_tom_MEC_reg,PD_ret_MEC_reg,PND_CAL,BRUTO_CAL,NETO_CAL,dBRUTO_CAL,dNETO_CAL,PD_tom_CAL,PD_ret_CAL
Diversos,202401,23243258.02341598,28632541.421534296,23153014.55619368,5479526.865340617,31158017.67261318,0.74598,0.03786620150231421,0.19399816934832062,0.23574693615758907,2554779.9925278574,17.1336,2024,0.19360653467644878,2060157.891313815,-2370039.852851849,-1933787.2945012115,4924819.8453797065,3993945.1858150265,31496731.64903079,28943801.33741637,23404707.38558944,-2891950.0920303874,-2356282.6690788716,5446730.084558245,4416440.560392687,27145209.455821093,24944986.62612884,20171162.24354594,-2707279.951568451,-2204617.5735499673,5262059.944096308,4264775.464863783,6263833.354184629,5756125.754075859,4654552.364365643,-2754638.994827455,-2232224.803121809,5309418.987355312,4292382.694435624,3968148.345926504,3646514.7775238557,2948666.2912810016,109538.91471054591,86600.97369415173,2445241.0778173115,1973556.9176196633,2955691.640106145,2716121.551885753,2196326.2324980297,138517.7606816967,110569.72766917665,2416262.2318461607,1949588.1636446384,31724308.632106945,29152932.33743641,23573816.12855187,-2888423.0243893005,-2353545.39904847,5443203.016917158,4413703.290362285,31496731.64903079,28943801.33741637,23404707.38558944,-2891950.0920303874,-2356282.6690788716,5446730.084558245,4416440.560392687
Diversos,202402,21983511.31503491,27082051.021736443,22201172.966348656,4880878.055387789,30180796.814683963,0.728394,0.03878062543394358,0.19314500435453125,0.2220244976083357,4049850.320428484,17.0543,2024,0.19360653467644878,3265772.8339320193,-1550490.399797853,-951841.589845024,5600340.720226337,4217614.423777044,30589923.063697573,27449171.14842334,22502128.659307875,-1494630.1889930293,-902578.7262815647,5544480.509421513,4168351.560213584,26298681.563682843,23598523.26912517,19345465.985118695,-1346463.3570036702,-825696.2584272437,5396313.677432154,4091469.092359263,5281601.819667833,4739325.168749297,3885177.5934814806,-1016800.5853265617,-769374.7708841623,5066650.905755046,4035147.6048161816,3666346.1927281357,3289912.2996813515,2696985.9834737284,-356602.47784250416,-251680.30780727323,4406452.798270988,3517453.1417392925,2666392.5027702325,2392626.617759334,1961414.1241418743,-323494.934126419,-234912.10835615546,4373345.254554903,3500684.9422881748,30817768.135344166,27653622.73707,22669732.844055407,-1499309.6003664099,-904083.2844964638,5549159.920794894,4169856.118428483,30589923.063697573,27449171.14842334,22502128.659307875,-1494630.1889930293,-902578.7262815647,5544480.509421513,4168351.560213584
Diversos,202403,22516087.60332075,27407035.022490565,22881628.65932076,4525406.363169812,30345131.540863547,0.742,0.0380693020419394,0.1791508254214338,0.200985466165196,5277273.075943801,16.5625,2024,0.19360653467644878,4255558.523168997,324984.0007541217,680455.692972105,4952289.075189679,3575102.830196892,30990318.04487239,27989752.84948685,23368129.03849543,540581.70106351,866000.3791875541,4736691.374880291,3389558.143981443,26534876.29442354,23965698.844949707,20008520.47955018,367175.5758245364,663054.4944314845,4910097.500119264,3592504.0287375124,3937950.5229920163,3556667.6570552727,2969396.307428794,-1182657.5116940243,-915781.2860526866,6459930.587637825,5171339.809221683,3318409.9050588054,2997112.6130876583,2502234.109109636,-292799.6865936932,-194751.87436409248,5570072.762537494,4450310.397533089,2291964.9183875215,2070050.765935119,1728247.2508682767,-322575.8518242149,-233166.87327359756,5599848.927768015,4488725.396442594,31074430.806165107,28065721.589035187,23431553.93967993,412098.85196518525,761821.0956245251,4865174.223978615,3493737.427544472,30990318.04487239,27989752.84948685,23368129.03849543,540581.70106351,866000.3791875541,4736691.374880291,3389558.143981443
Diversos,202404,26872730.0219539,32682672.871172667,26725892.50005839,5956780.371114277,35489606.47379015,0.7572,0.03730539282412234,0.1788967885125817,0.22166636461006514,10255872.093750251,17.1268,2024,0.19360653467644878,8270268.23759437,5275637.848682102,3844263.8407376297,4980234.24506815,4426004.39685674,36029708.054074764,33180056.89482144,27132622.757393263,5190304.045334589,3764493.7188978344,5065568.048415663,4505774.518696535,31126804.15775599,28664932.043253276,23440429.591827884,4699233.198303569,3431909.112277705,5556638.895446682,4838359.125316665,4014185.998284466,3696697.1702789315,3022933.0253244946,140029.51322365878,53536.717895700596,10115842.580526592,8216731.519698669,4052998.0520876567,3732439.5124445125,3052160.9283844116,735326.8993568541,549926.8192747757,9520545.194393396,7720341.418319594,2952220.9975334406,2718724.7955834577,2223206.985255353,648674.0296483387,494959.73438707646,9607198.064101912,7775308.503207293,35890142.735837184,33051530.036021568,27027521.3470773,4985808.446986381,3595967.407397367,5270063.6467638705,4674300.830197003,36029708.054074764,33180056.89482144,27132622.757393263,5190304.045334589,3764493.7188978344,5065568.048415663,4505774.518696535
Diversos,202405,27791915.47718674,34982945.483315855,28887281.31681617,6095664.166499687,34613554.871203534,0.80292,0.03518075792758073,0.22356463196941784,0.21933227925593585,4623876.589759321,16.9682,2024,0.19360653467644878,3728663.866444463,2300272.6121431887,2161388.8167577796,2323603.9776161322,1567275.0496866833,35070311.2496674,35444576.29663204,29268474.466350563,2264519.4018105976,2135851.7089572996,2359357.1879487233,1592812.1574871633,30167041.914514363,30488980.014194813,25176374.675279345,1824047.9709415361,1735945.083451461,2799828.618817785,1992718.7829930019,3578190.813788118,3616376.7238998665,2986234.873238568,-80320.44637906505,-36698.152085926384,4704197.0361383855,3765362.0185303893,4057732.3532517143,4101035.8580010226,3386443.733759526,368596.34555651015,334282.80537511455,4255280.244202811,3394381.0610693484,2939045.8424013946,2970410.8942370275,2452826.4828152847,251686.09865356982,229619.4975599316,4372190.491105751,3499044.3688845313,35004135.58791264,35377694.41824355,29213246.537160702,2326164.382221982,2185725.190083403,2297712.207537339,1542938.6763610598,35070311.2496674,35444576.29663204,29268474.466350563,2264519.4018105976,2135851.7089572996,2359357.1879487233,1592812.1574871633
Diversos,202406,27696446.25892749,33801247.45819251,27201914.04009581,6599333.418096706,32171875.917861156,0.86089,0.03281135401747246,0.18760685928659854,0.23827365274234488,3384892.758455398,18.2862,2024,0.19360653467644878,2729555.4012394426,-1181698.0251233429,-1685367.27672036,4566590.78357874,4414922.677959803,33035863.03724359,34708991.927228056,27932431.07345732,-735584.3694039807,-1336043.3928932436,4120477.1278593787,4065598.794132686,28106565.123468883,29530045.601435818,23764618.836742796,-958934.4127589948,-1411755.8385365494,4343827.171214392,4141311.239775992,3085115.1587626063,3241363.3940587603,2608521.7276952667,-375013.3298411062,-377713.1455433015,3759906.088296504,3107268.546782744,3517679.7736441963,3695835.605334229,2974263.0820644596,-405200.25266679376,-412180.6516950666,3790093.011122192,3141736.0529345092,2408255.851514589,2530223.9815767785,2036224.7083978164,-440186.91266024904,-416601.77441746835,3825079.671115647,3146157.175656911,32948310.67796056,34617005.40554589,27858403.940028574,-760689.0126976594,-1354842.5971321277,4145581.7711530575,4084397.9983715704,33035863.03724359,34708991.927228056,27932431.07345732,-735584.3694039807,-1336043.3928932436,4120477.1278593787,4065598.794132686
Diversos,202407,26946900.737977672,32387581.561829112,26244882.563868616,6142698.997960497,33742253.08721112,0.79861,0.03537043236312476,0.1665333367105336,0.22795567689546095,7774042.2350286925,18.632,2024,0.19360653467644878,6268936.857476432,-1413665.8963634,-957031.4762271941,9187708.131392092,7225968.333703626,35078788.34390879,33670458.094249,27284445.94939117,-1038533.8329790533,-647985.124066148,8812576.068007745,6916921.98154258,29859390.18565769,28660606.40719351,23224773.60435471,-869439.194242306,-539845.2323880866,8643481.429270998,6808782.0898645185,3987514.2201055028,3827424.9706688626,3101507.2454687343,586061.5766101023,492985.5177734676,7187980.65841859,5775951.339702964,3992055.5353582655,3831783.962872693,3105039.5017524567,135948.357538464,130776.41968799708,7638093.877490228,6138160.437788434,2874778.440608388,2759362.896625336,2236016.142013487,229138.91504855733,199791.43361567054,7544903.319980135,6069145.423860761,34922585.28983746,33520526.222750492,27162950.48198347,-1096479.182795398,-695453.4580451027,8870521.41782409,6964390.3155215345,35078788.34390879,33670458.094249,27284445.94939117,-1038533.8329790533,-647985.124066148,8812576.068007745,6916921.98154258
Diversos,202408,25987831.817466643,30320312.74850655,24218714.6177935,6101598.13071305,36992828.31200501,0.7025100000000001,0.04020823591873778,0.1265036683859534,0.2347867330206483,8085255.132163238,19.7027,2024,0.19360653467644878,6519896.90405014,-2067268.8133225627,-2026167.9460751154,10152523.9454858,8546064.850125255,37253328.48473348,30533825.66624157,24389260.629793048,-3136632.4280074313,-2895185.3195981234,11221887.56017067,9415082.223648263,31814016.435496666,26075619.84649193,20828215.090735376,-2584986.5607015826,-2396558.5136193335,10670241.69286482,8916455.417669473,6483599.602174663,5314131.864046528,4244726.765326824,1486706.8933776654,1143219.5198580897,6598548.238785572,5376677.3841920495,4571093.843860866,3746590.927832802,2992634.5820844523,-85193.03503989102,-112404.91966800438,8170448.167203128,6632301.823718144,3416284.375229968,2800078.161668811,2236596.1217966997,40715.2650434752,579.979783212766,8044539.867119763,6519316.924266927,37034055.74933363,30354103.860207442,24245705.674834695,-3166422.36254305,-2917244.807148777,11251677.494706288,9437141.711198917,37253328.48473348,30533825.66624157,24389260.629793048,-3136632.4280074313,-2895185.3195981234,11221887.56017067,9415082.223648263
Diversos,202409,23791199.02651317,28111517.15662626,23035797.752905987,5075719.403720275,34234896.57598235,0.6949399999999999,0.0406470699815936,0.1409460529752814,0.2133444135398068,3731475.5364966914,19.6921,2024,0.19360653467644878,3009037.4886456244,-2208795.591880288,-1182916.8648875132,5940271.128376979,4191954.3535331376,34991481.71209293,28732776.694741588,23544884.793365315,-1801048.9714999832,-844375.8364277333,5532524.507996675,3853413.3250733577,29705779.282701805,24392494.42752735,19988269.049682323,-1683125.4189645797,-839946.041053053,5414600.955461271,3848983.5296986774,7152784.960941054,5873411.555395738,4812928.4504940165,559279.6913492102,568201.6851671925,3172195.845147481,2440835.803478432,4407011.618355011,3618757.32394507,2965366.876742781,-127833.60388773168,-27267.705341671128,3859309.140384423,3036305.1939872955,3280654.783075326,2693864.8117339523,2207469.793644567,-106213.34993485874,-29126.328152132686,3837688.88643155,3038163.816797757,34851848.30726792,28618118.633874826,23450928.999867894,-1735985.226332616,-794776.674966801,5467460.7628293075,3803814.1636124253,34991481.71209293,28732776.694741588,23544884.793365315,-1801048.9714999832,-844375.8364277333,5532524.507996675,3853413.3250733577
Diversos,202410,22533982.987771668,26368640.66783604,21383764.40140124,4984876.266434792,32335064.33981212,0.69689,0.040532825179172526,0.12963938459596078,0.2212159416797241,4614033.252006897,20.0109,2024,0.19360653467644878,3720726.2632039357,-1742876.4887902215,-1652033.3515047468,6356909.740797118,5372759.6147086825,33699743.93956174,27481511.377303533,22286251.767369285,-1251265.3174380548,-1258633.0259960294,5865298.569444952,4979359.289199965,28612164.09257736,23332685.092492905,18921742.95804916,-1059809.335034445,-1066526.0916331634,5673842.587041342,4787252.354837099,7223098.695901243,5890301.995967564,4776766.14890936,16890.44057182595,-36162.30158465635,4597142.811435071,3756888.564788592,4072645.9934073333,3321166.6950431084,2693314.647470998,-297590.6289019617,-272052.229271783,4911623.880908858,3992778.4924757187,2955021.841403896,2409765.086060108,1954209.5291202047,-284099.7256738441,-253260.26452436228,4898132.977680741,3973986.5277282977,33716818.57497266,27495435.42337789,22297543.533392385,-1122683.210496936,-1153385.466475509,5736716.462503833,4874111.729679445,33699743.93956174,27481511.377303533,22286251.767369285,-1251265.3174380548,-1258633.0259960294,5865298.569444952,4979359.289199965
Diversos,202411,25497434.16760392,29906154.46218525,24339203.187941715,5566951.274243533,36898491.35724968,0.691015627732278,0.04087812358217399,0.13203026655626937,0.21833378361328182,10467291.887345511,20.3611,2024,0.19360653467644878,8440755.777589642,3537513.7943492085,2955438.7865404747,6929778.092996303,5485316.991049167,38297821.58610279,31040308.8524694,25262237.748822033,3558797.4751658663,2975985.981452748,6908494.412179645,5464769.796136893,32907558.477915406,26671511.2356639,21706680.212433424,3338826.143170994,2784937.2543842643,7128465.744174518,5655818.523205377,11224896.321810238,9097756.327539291,7404233.135034144,3207454.331571727,2627466.9861247838,7259837.555773784,5813288.791464858,4199202.666113677,3403445.4778905725,2769903.13583123,82278.78284746408,76588.48836023174,10385013.104498047,8364167.28922941,2969774.3036117475,2406996.2151499083,1958940.2585082324,-2768.8709101998247,4730.729388027685,10470060.75825571,8436025.048201613,38181888.68502374,30946345.464824334,25185765.396383263,3450910.0414464436,2888221.8629908785,7016381.845899068,5552533.914598763,38297821.58610279,31040308.8524694,25262237.748822033,3558797.4751658663,2975985.981452748,6908494.412179645,5464769.796136893
Diversos,202412,28339082.306576192,33669807.70343199,26889567.83732144,6780239.866110551,38574891.079677545,0.7346510000000002,0.04140240560661538,0.14670267624421027,0.2392540376841056,8080575.267419487,20.8829,2024,0.19360653467644878,6516123.091702182,3763653.241246745,2550364.6493797265,4316922.026172742,3965758.4423224553,40361642.73178066,35229360.636863224,28135066.616784863,4189051.7843938246,2872828.86796283,3891523.4830256626,3643294.223739352,34800548.110717446,30375400.424116626,24258570.09592696,3703889.188452728,2551889.883493535,4376686.078966759,3964233.2082086466,13599696.294784324,11870394.089374378,9479999.705773091,2772637.761835087,2075766.570738947,5307937.5055844,4440356.520963235,4305196.060678169,3757758.464935077,3001041.825042591,354312.9870445044,231138.6892113611,7726262.280374983,6284984.402490821,3023165.8320527626,2638747.8842274253,2107371.4130921303,231751.669077517,148431.1545838979,7848823.59834197,6367691.937118284,40175637.66035599,35067007.48922125,28005407.24909336,4120662.0243969187,2819641.852710098,3959913.2430225685,3696481.238992084,40361642.73178066,35229360.636863224,28135066.616784863,4189051.7843938246,2872828.86796283,3891523.4830256626,3643294.223739352
