Ramo,Grupo,mes,real,dp,de,r_leg,r_grp,r_pla,r_esc
50,MyT,202602,51170085.636439614,0.03,-0.01,1.0132034910732344,1.0186095399123565,1.0186095399123565,1.0335115090043008
50,MyT,202603,54353740.9780644,0.03,-0.005,0.9853253479764388,0.9966510567267471,0.9966510567267471,0.9929587518941104
50,MyT,202604,53177369.2634869,0.03,-0.005,0.9844576085296447,0.9956327131119138,0.9956327131119138,0.9920135146363996
50,MyT,202605,54792359.2118846,0.03,-0.005,0.9908783338949682,1.0009675747950282,1.0009675747950282,0.9993938457248188
60,Incendio,202602,105234424.79543637,0.055,0.01,1.0408523635770528,1.0279302052800985,1.0178338944743444,1.0145369337485732
60,Incendio,202603,105162520.24245197,0.055,0.015,1.0227927635435567,1.0066515243712864,0.9967874619784618,0.986819649765556
60,Incendio,202604,109848254.02088292,0.055,0.015,0.9886736844177946,0.9680583703709407,0.9585328731455086,0.9536186016045258
60,Incendio,202605,106756519.36378682,0.055,0.01,1.0404705108883188,1.0087552862675568,0.9988107774302523,1.0071442968558564
71,CAT,202602,20404954.131895684,-0.035,-0.035,0.7025378200160366,0.7503907853438148,0.7503907853438148,0.7503907853438148
71,CAT,202603,19290304.92044719,-0.035,-0.035,0.6030851938431301,0.6493218146803399,0.6493218146803399,0.6493218146803399
71,CAT,202604,19356723.19964737,-0.035,-0.035,0.48270004358344365,0.5234066648467569,0.5234066648467569,0.5234066648467569
71,CAT,202605,17844797.043269645,-0.035,-0.035,0.40618219273605305,0.4473126957429882,0.4473126957429882,0.4473126957429882
73,CAT,202602,10359659.055931477,-0.035,-0.035,0.7493759000320803,0.8009391296940261,0.8009391296940261,0.8009391296940261
73,CAT,202603,10020264.89021043,-0.035,-0.035,0.6270896027179791,0.676267671919977,0.676267671919977,0.676267671919977
73,CAT,202604,10850421.703837698,-0.035,-0.035,0.4614794949202653,0.5020691603439558,0.5020691603439558,0.5020691603439558
73,CAT,202605,10986994.091152878,-0.035,-0.035,0.35074451855410854,0.38815461118078315,0.38815461118078315,0.38815461118078315
80,Agro,202602,3627569.3932148702,0.115,0.0,1.4960376704700478,1.187770888560854,1.2321648215474768,1.3294806523296396
80,Agro,202603,4864165.670118046,0.12,0.0,1.1348863729187577,0.9071832541919788,0.9266671423826081,0.9998323028669329
80,Agro,202604,5196154.117054406,0.12,0.0,1.1152375345687966,0.9714463650796347,0.9903248989447885,0.9966336667417255
80,Agro,202605,5927554.624252455,0.115,0.0,1.0947439365233285,0.9776936751009526,1.004381982025573,0.9989191720347274
90,Autos,202602,12647716.403393729,0.315,0.0,0.9595233926833199,0.9559215132022547,0.9559215132022547,0.9299597956715764
90,Autos,202603,9894669.162408227,0.31,0.0,1.0467413537116583,1.0558402576848258,1.068477727043645,1.0056464995729697
90,Autos,202604,10608325.971446237,0.315,0.005,1.031043049409581,0.9908889257706469,0.9908889257706469,0.9833136275359361
90,Autos,202605,9347182.76480528,0.31,0.0,1.0819759564254898,0.9996067312306416,1.0148183291787958,1.0451228301866626
100,Credito,202602,2882281.658329368,0.0,0.0,1.0029277557383536,0.9735320030887362,0.9735320030887362,0.9735320030887362
100,Credito,202603,2378214.9220092385,0.0,0.0,1.0272299961579152,1.0048598547230565,1.0048598547230565,1.0048598547230565
100,Credito,202604,3108605.871038651,0.0,0.0,1.0152751467376053,1.001849266579834,1.001849266579834,1.001849266579834
100,Credito,202605,3735358.431035576,0.0,0.0,1.0144331971102485,1.0033280631452688,1.0033280631452688,1.0033280631452688
110,Diversos,202602,26199121.56652236,0.07,0.02,0.9850043421713021,0.9500135403963501,0.9307881026166723,0.9401936324769867
110,Diversos,202603,23102655.104545552,0.07,0.02,1.0409619407242394,1.0045437351013908,0.9841469778938315,0.992472239685629
110,Diversos,202604,24176576.01094522,0.065,0.015,1.0483273064573053,1.0186028324694734,1.0084786811168718,1.012832540024762
110,Diversos,202605,23166174.20199422,0.06,0.015,1.085643709027935,1.0526800148249684,1.0526800148249684,1.0435884964065025
