Grupo,Variante,ratio,MAPE,R2,PND_real_prom,PND_mod_prom
MyT,NT_reg_susc,0.2969431126668635,0.7001049679803483,-3.2001417282364475,41927580.5163786,12450106.265124
MyT,MEC_pub,0.1451399646555647,0.8488372703372047,-5.06647655126633,41927580.5163786,6085367.554240533
MyT,MEC_prop,0.14879306416340143,0.8450960408503926,-5.016413939862684,41927580.5163786,6238533.1779897
MyT,MEC_reg,0.9974495444756305,0.059383576500283246,0.9670712238798526,41927580.5163786,41820646.08702715
MyT,CAL,1.0051499098311603,0.051503889145306285,0.9732754856812094,41927580.5163786,42143503.77547666
RC,NT_reg_m,0.989480131709223,0.09784144962708995,0.8092337621796277,13203840.85665919,13064938.189914757
RC,NT_reg_t,0.8573000127698227,0.14792110983879755,0.580272949892801,13203840.85665919,11319652.935024632
RC,NT_reg_susc,0.22398353834895968,0.7782319126826653,-7.245168514662055,13203840.85665919,2957442.9948710846
RC,MEC_pub,0.1453536571676917,0.8572289569802651,-8.77036044870203,13203840.85665919,1919226.5571756007
RC,MEC_prop,0.11444707035849734,0.8879499682372233,-9.496739119633867,13203840.85665919,1511140.903524476
RC,MEC_reg,0.9882629724767431,0.09224579101746933,0.830984334463862,13203840.85665919,13048867.01311188
RC,CAL,0.989480131709223,0.09784144962708995,0.8092337621796277,13203840.85665919,13064938.189914757
Vida,NT_reg_m,1.1606869623199707,0.1874650541322993,0.8685243279164634,27127101.627045527,31486073.184040606
Vida,NT_reg_t,1.0653654876966043,0.11232770824811192,0.9563685580778686,27127101.627045527,28900277.85469271
Vida,NT_reg_susc,0.43017425270162657,0.6068384797778255,-0.4533773250335722,27127101.627045527,11669380.670375388
Vida,MEC_pub,0.4229431935884212,0.5816355186275645,-0.5862996039045043,27127101.627045527,11473222.994940292
Vida,MEC_prop,0.4229431935884212,0.5816355186275645,-0.5862996039045043,27127101.627045527,11473222.994940292
Vida,MEC_reg,1.1675700241057245,0.1985453499225211,0.8650553513806278,27127101.627045527,31672790.700607985
Vida,CAL,1.0161248880221565,0.1008191080290666,0.9593737583046322,27127101.627045527,27564523.103147298
TOTAL,NT_reg_m,0.9926122933792749,0.030289343615122494,0.9817373723298962,396985666.07493347,394052852.4413388
TOTAL,NT_reg_t,0.8711901974064478,0.12801907700387033,0.6949905017595341,396985666.07493347,345850020.79535145
TOTAL,NT_reg_susc,0.29361955916847876,0.7051665119783576,-7.660682218091919,396985666.07493347,116562756.26912689
TOTAL,MEC_pub,0.21793153013096705,0.7795690179780151,-9.619120622704598,396985666.07493347,86515693.64777139
TOTAL,MEC_prop,0.19360533097912466,0.8039433969220036,-10.286227545820742,396985666.07493347,76858541.27440576
TOTAL,MEC_reg,1.0073712419482854,0.030208082521884817,0.981710900519501,396985666.07493347,399911943.469573
TOTAL,CAL,0.988969877908804,0.031274735864460744,0.9798066884899574,396985666.07493347,392606865.7096722
