bloque,ramo,mes,real,leg,mod
NETO,80,202605,-3.35682383108906e-12,0.0,0.0
NETO,80,202606,-9.771353361600958e-12,0.0,0.0
NETO,80,202607,-1.722299111361091e-11,0.0,0.0
NETO,80,202608,0.0,0.0,0.0
NETO,80,202609,0.0,0.0,0.0
NETO,80,202610,0.0,0.0,0.0
NETO,80,202611,0.0,0.0,0.0
NETO,80,202612,0.0,0.0,0.0
NETO,90,202601,18081393.477649383,19012667.678192053,19214825.663463637
NETO,90,202602,19520023.778711457,19611348.857158657,19859110.51431835
NETO,90,202603,21386947.037132084,21428877.84712361,21598070.914903667
NETO,90,202604,21308149.49681718,22207581.795822814,22490932.403026726
NETO,90,202605,21679990.425084054,22459118.90170614,22851857.892887045
NETO,90,202606,18210217.00364601,21664172.33519901,22310583.632744472
NETO,90,202607,20577741.80027366,23681008.81240054,24746263.105864093
NETO,90,202608,0.0,0.0,22658396.44815342
NETO,90,202609,0.0,0.0,0.0
NETO,90,202610,0.0,0.0,0.0
NETO,90,202611,0.0,0.0,0.0
NETO,90,202612,0.0,0.0,0.0
NETO,100,202601,94199.53674203937,94665.99469674597,94665.99469674597
NETO,100,202602,93307.42406481039,94428.69197155788,94428.69197155788
NETO,100,202603,89933.10813826347,96797.23065486155,96797.23065486155
NETO,100,202604,91471.37009983513,101320.93753484977,101320.93753484977
NETO,100,202605,101386.78958022158,102459.31812853011,102459.31812853011
NETO,100,202606,100990.16949927418,106199.75291847602,105411.426764756
NETO,100,202607,102313.77888884397,103386.04147917833,102737.52606644164
NETO,100,202608,0.0,0.0,102026.86569511675
NETO,100,202609,0.0,0.0,0.0
NETO,100,202610,0.0,0.0,0.0
NETO,100,202611,0.0,0.0,0.0
NETO,100,202612,0.0,0.0,0.0
NETO,110,202601,30954242.874036305,36564301.45125845,36853875.52584276
NETO,110,202602,31611015.276987895,36390360.3595623,36658037.395555355
NETO,110,202603,31633460.873518847,36223027.25658923,36464554.01657542
NETO,110,202604,31415205.512685467,35844386.11700916,36039177.65143782
NETO,110,202605,31361863.422932968,36085511.45029523,36280624.11533916
NETO,110,202606,33043532.412878748,38469980.28209621,37861374.15830047
NETO,110,202607,34604145.99583159,39752971.01724586,39272971.51967025
NETO,110,202608,0.0,0.0,33180433.874254275
NETO,110,202609,0.0,0.0,0.0
NETO,110,202610,0.0,0.0,0.0
NETO,110,202611,0.0,0.0,0.0
NETO,110,202612,0.0,0.0,0.0
BRUTO,10,202601,33108469.915786937,35112913.14352581,35070051.44342808
