fecha,local,visitante,gl,gv,fase
2011-02-06,Toluca,Atlas,0,0,regular
2011-02-06,América,Querétaro,3,1,regular
2011-02-11,Necaxa,América,1,0,regular
2011-02-12,Chiapas,Monterrey,1,4,regular
2011-02-12,Querétaro,Toluca,0,5,regular
2011-02-12,Tigres,Cruz Azul,2,0,regular
2011-02-12,Pachuca,Puebla,1,0,regular
2011-02-12,Atlas,Santos,1,2,regular
2011-02-12,Atlante,San Luis,0,0,regular
2011-02-13,Pumas,Chivas,1,1,regular
2011-02-13,Morelia,Tecos,4,1,regular
2011-02-18,Tecos,Atlante,0,1,regular
2011-02-18,San Luis,Pumas,0,1,regular
2011-02-19,Monterrey,Tigres,0,0,regular
2011-02-19,Cruz Azul,Atlas,2,1,regular
2011-02-19,Chivas,Pachuca,4,1,regular
2011-02-19,Santos,Querétaro,0,2,regular
2011-02-20,Puebla,Chiapas,1,0,regular
2011-02-20,Toluca,Necaxa,2,3,regular
2011-02-20,América,Morelia,1,2,regular
2011-02-25,Necaxa,Santos,1,0,regular
2011-02-26,Chiapas,Chivas,1,0,regular
2011-02-26,Querétaro,Cruz Azul,1,1,regular
2011-02-26,Tigres,Puebla,3,0,regular
2011-02-26,Pachuca,San Luis,0,0,regular
2011-02-26,Atlas,Monterrey,1,0,regular
2011-02-27,Pumas,Tecos,5,1,regular
2011-02-27,Morelia,Atlante,2,1,regular
2011-02-27,América,Toluca,4,3,regular
2011-03-04,Tecos,Pachuca,1,0,regular
2011-03-05,Monterrey,Querétaro,2,0,regular
2011-03-05,Cruz Azul,Necaxa,0,0,regular
2011-03-05,Chivas,Tigres,0,0,regular
2011-03-05,Santos,América,2,3,regular
2011-03-05,San Luis,Chiapas,0,0,regular
2011-03-05,Atlante,Pumas,0,2,regular
2011-03-06,Puebla,Atlas,2,0,regular
2011-03-06,Toluca,Morelia,1,6,regular
2011-03-11,Necaxa,Monterrey,0,1,regular
2011-03-12,Chiapas,Tecos,0,2,regular
2011-03-12,Querétaro,Puebla,2,1,regular
2011-03-12,Tigres,San Luis,1,1,regular
2011-03-12,Pachuca,Atlante,0,4,regular
2011-03-12,Atlas,Chivas,1,1,regular
2011-03-13,Toluca,Santos,3,1,regular
2011-03-13,Morelia,Pumas,0,1,regular
2011-03-13,América,Cruz Azul,0,2,regular
2011-03-18,Tecos,Tigres,0,0,regular
2011-03-19,Monterrey,América,2,1,regular
2011-03-19,Cruz Azul,Toluca,1,0,regular
2011-03-19,Chivas,Querétaro,2,0,regular
2011-03-19,Santos,Morelia,0,1,regular
2011-03-19,San Luis,Atlas,1,1,regular
2011-03-19,Atlante,Chiapas,5,1,regular
2011-03-20,Puebla,Necaxa,1,0,regular
2011-03-20,Pumas,Pachuca,0,0,regular
2011-04-01,Necaxa,Chivas,1,2,regular
2011-04-02,Chiapas,Pumas,3,1,regular
2011-04-02,Querétaro,San Luis,3,2,regular
2011-04-02,Tigres,Atlante,2,0,regular
2011-04-02,Santos,Cruz Azul,3,0,regular
2011-04-02,Atlas,Tecos,1,1,regular
2011-04-03,Toluca,Monterrey,1,1,regular
2011-04-03,Morelia,Pachuca,1,3,regular
2011-04-03,América,Puebla,5,4,regular
2011-04-08,Tecos,Querétaro,0,0,regular
2011-04-09,Cruz Azul,Morelia,2,3,regular
2011-04-09,Monterrey,Santos,1,1,regular
2011-04-09,Pachuca,Chiapas,3,0,regular
2011-04-09,San Luis,Necaxa,0,0,regular
2011-04-09,Atlante,Atlas,3,1,regular
2011-04-10,Puebla,Toluca,1,1,regular
2011-04-10,Pumas,Tigres,2,0,regular
2011-04-10,Chivas,América,3,0,regular
2011-04-12,Morelia,Chiapas,2,1,regular
2011-04-13,Santos,Puebla,4,0,regular
2011-04-13,Toluca,Chivas,1,2,regular
2011-04-13,Necaxa,Tecos,2,2,regular
2011-04-13,Querétaro,Atlante,1,4,regular
2011-04-13,Cruz Azul,Monterrey,3,0,regular
2011-04-13,Tigres,Pachuca,4,2,regular
2011-04-13,Atlas,Pumas,0,0,regular
2011-04-16,Chiapas,Tigres,0,1,regular
2011-04-16,Monterrey,Morelia,1,1,regular
2011-04-16,Chivas,Santos,0,1,regular
2011-04-16,Pachuca,Atlas,1,2,regular
2011-04-16,Atlante,Necaxa,1,1,regular
2011-04-16,Puebla,Cruz Azul,2,0,regular
2011-04-16,San Luis,Toluca,1,2,regular
2011-04-17,Pumas,Querétaro,3,0,regular
2011-04-17,Tecos,América,1,3,regular
2011-04-22,Necaxa,Pumas,0,1,regular
2011-04-23,Querétaro,Pachuca,1,1,regular
2011-04-23,Cruz Azul,Chivas,1,1,regular
