Ramo,CohorteAAAAMM,Antiguedad,PrimaDevAcum
LN04003,201803,98,-1.2051225999999957
LN04003,201804,93,10309.960079999999
LN04003,201804,95,63205.08336
LN04003,201804,96,70225.7197032
LN04003,201804,99,109231.8610332
LN04003,201805,98,2455447.4247094
LN04003,201806,92,976.223385
LN04003,201806,94,15642.206121
LN04003,201806,96,23464.9473498
LN04003,201807,90,-8027.695158200002
LN04003,201807,91,24053.279713799995
LN04003,201807,92,578291.8299477999
LN04003,201807,93,598647.1753226
LN04003,201807,94,702992.6831023999
LN04003,201807,95,747307.7248111999
LN04003,201807,96,749107.3431561999
LN04003,201810,88,15923.0439768
LN04003,201810,90,649075.6486235999
LN04003,201810,93,746253.0224144999
LN04003,201811,87,5523.7588026
LN04003,201811,88,5523.7588026
LN04003,201811,90,6484.5356172
