Ramo,CohorteAAAAMM,Antiguedad,PrimaDevAcum
LN04001,202212,41,373.835346
LN04001,202301,36,574664.9641199
LN04001,202301,37,808954.4150319
LN04001,202301,38,2638420.7335439003
LN04001,202301,39,5457003.9166234005
LN04001,202301,40,5972236.1271994
LN04001,202301,41,5972227.0771994
LN04001,202301,42,1937069.4568706
LN04001,202302,35,197390.55016
LN04001,202302,39,113603.99803600002
LN04001,202303,34,7548.593440000001
LN04001,202303,37,7329.368244
LN04001,202303,39,14820.638246
LN04001,202304,33,335741.69458199997
LN04001,202304,34,732857.7301526
LN04001,202304,35,1502876.6150440997
LN04001,202304,36,2146806.5908489
LN04001,202304,37,2233206.0528329
LN04001,202304,38,1964596.2620072998
LN04001,202304,39,2197647.7721257
LN04001,202305,32,34999.088240000005
LN04001,202305,33,66698.792612
LN04001,202305,34,192851.077232
LN04001,202305,35,192851.077232
LN04001,202305,36,249604.58811200003
LN04001,202305,37,251195.368886
LN04001,202305,38,249472.45673
LN04001,202306,31,-155829.39704
LN04001,202306,32,-153862.481038
LN04001,202306,33,-7402.520118000015
LN04001,202306,34,-550751.182518
LN04001,202306,35,-428762.911846
LN04001,202306,36,-347012.836995
LN04001,202306,37,-347012.836995
LN04001,202307,30,420900.5192377
LN04001,202307,31,597733.89672
LN04001,202307,32,328150.19438839995
LN04001,202307,33,364318.3516276
LN04001,202307,34,364266.5059830999
LN04001,202307,35,-567480.2586121002
LN04001,202307,36,-615309.8767201002
LN04001,202310,30,-1871.032376
LN04001,202401,24,-315697.9671859
LN04001,202401,25,-1105560.4136925002
LN04001,202401,26,-964029.6894015002
LN04001,202401,27,-50179.49195750011
LN04001,202401,28,124652.45000149988
LN04001,202401,29,231372.98046849988
LN04001,202401,30,1180722.4758005
LN04001,202403,22,205518.95736
LN04001,202403,25,140797.154728
LN04001,202403,27,141836.353415
LN04001,202404,21,14794169.4528675
LN04001,202404,22,27122457.7886843
LN04001,202404,23,39474017.1241765
LN04001,202404,24,42277960.3053609
LN04001,202404,25,43194143.8386409
LN04001,202404,26,45200923.738283604
LN04001,202404,27,45729574.9162248
LN04001,202405,20,-2451.2489600000044
LN04001,202405,21,11045805.402304001
LN04001,202405,22,11014612.74258
LN04001,202405,23,10873388.875128001
LN04001,202405,24,11010072.103224002
LN04001,202405,25,11003161.726572001
LN04001,202405,26,11056072.943336
LN04001,202406,19,614974.8552
LN04001,202406,20,654586.965464
LN04001,202406,21,745879.814268
LN04001,202406,22,925168.829806
LN04001,202406,23,3286426.38931
LN04001,202406,24,3786905.274962
LN04001,202406,25,7054693.580982
LN04001,202407,18,1617533.4852463
LN04001,202407,19,4143345.1672121
LN04001,202407,20,6748810.0533945
LN04001,202407,21,8424664.7311425
LN04001,202407,22,9118038.0518998
LN04001,202407,23,38439563.194973305
LN04001,202407,24,39500718.2801823
LN04001,202408,19,93460.5910875
LN04001,202408,23,93460.5910875
LN04001,202410,15,186662.46424
LN04001,202410,18,34274.42372399999
LN04001,202412,14,-5096574.211449001
LN04001,202501,12,84554427.2146272
LN04001,202501,13,121017152.79054281
LN04001,202501,14,151733118.6123433
LN04001,202501,15,193289043.5441054
LN04001,202501,16,191540842.46271342
LN04001,202501,17,213576048.9372326
LN04001,202501,18,216668671.5261941
LN04001,202502,12,1377760.064025
LN04001,202502,14,4541094.676857
LN04001,202503,10,1671374.3430400002
LN04001,202503,12,1734177.1890020003
LN04001,202503,13,3033410.3836660003
LN04001,202503,15,4793846.892902
LN04001,202504,9,30714371.9000582
LN04001,202504,10,140244522.2468172
LN04001,202504,11,217207177.4923338
LN04001,202504,12,231436976.02181602
LN04001,202504,13,272976963.0905342
LN04001,202504,14,334495580.0178845
LN04001,202504,15,378929480.6950779
LN04001,202505,8,22496158.69104
LN04001,202505,9,40194322.333863005
LN04001,202505,10,41890955.539737
LN04001,202505,11,64590913.6036086
LN04001,202505,12,64942799.870168604
LN04001,202505,13,99270255.5264686
LN04001,202505,14,110083753.2024426
LN04001,202506,7,9155060.6634386
LN04001,202506,8,39088674.11115959
LN04001,202506,9,54287493.871423595
LN04001,202506,10,62167060.367877595
LN04001,202506,11,78595903.4592264
LN04001,202506,12,89369837.6077334
LN04001,202506,13,95943625.30014239
LN04001,202507,6,5175262.2332289005
LN04001,202507,7,36362836.1385058
LN04001,202507,8,91523829.6618869
LN04001,202507,9,118143844.436501
LN04001,202507,10,139500673.4782036
LN04001,202507,11,226723047.3914989
LN04001,202507,12,245521423.16595668
LN04001,202508,5,0.0
LN04001,202508,7,0.0
LN04001,202508,8,2138368.3179742
LN04001,202508,9,1942621.4184022
LN04001,202508,11,1942621.4184022
LN04001,202510,3,0.0
LN04001,202510,4,0.0
LN04001,202510,5,0.0
LN04001,202510,6,178150.675712
LN04001,202510,7,178150.675712
LN04001,202510,8,135852.969782
LN04001,202510,9,135852.969782
LN04001,202511,8,222.04
LN04001,202512,1,23094311.518639997
LN04001,202512,2,53682317.555990994
LN04001,202512,4,53682317.555990994
LN04001,202512,5,75704803.771287
LN04001,202512,6,75704803.771287
LN04001,202601,0,211297959.822093
LN04001,202601,1,212140810.255028
LN04001,202601,2,212617452.1373052
LN04001,202601,3,228143755.124357
LN04001,202601,4,259161923.46507382
LN04001,202601,5,360017432.7610756
LN04001,202601,6,408647632.8987502
LN04001,202602,1,4163060.3730140002
LN04001,202602,2,3805765.9655100005
LN04001,202603,0,1994602.906704
LN04001,202603,1,24974935.343476
LN04001,202603,3,24974935.343476
LN04001,202603,4,24974935.343476
LN04001,202604,0,205680816.7564788
LN04001,202604,1,212008654.97145158
LN04001,202604,2,214032709.4032366
LN04001,202604,3,212918724.2041826
LN04001,202605,0,89181474.07023999
LN04001,202605,2,89181474.07023999
LN04001,202606,0,53716346.410781495
LN04001,202606,1,66862310.69949749
LN04001,202607,0,199700925.2931942
LN04001,202608,0,189397674.2469584
LN04001,202609,0,335093387.32154644
LN04001,202610,0,304640414.4720205
LN04001,202611,0,144788683.8127609
LN04001,202612,0,457891432.2427192
LN04002,202010,64,22687.241436
LN04002,202109,53,438629.58215100004
LN04002,202110,52,44149.849842
LN04002,202207,44,26881.608
LN04002,202210,40,51855.282675
LN04002,202210,42,147976.478895
LN04002,202303,38,29008.514592
LN04002,202305,33,99.120369
LN04002,202305,37,193264.53975000003
LN04002,202306,31,-17874.795715200005
LN04002,202306,33,-9401.436265600005
LN04002,202306,34,-14991.160277600005
LN04002,202306,35,27289.62449039999
LN04002,202307,32,0.0
LN04002,202308,30,27965.183334
LN04002,202309,28,11329.55312
LN04002,202309,33,26087.538829
LN04002,202310,27,0.0
LN04002,202310,31,-235518.72879999998
LN04002,202311,26,2100.6332
LN04002,202312,28,1876.76844
LN04002,202312,29,47.78507999999988
LN04002,202312,31,4402.661662
LN04002,202401,24,1623655.5350949
LN04002,202401,25,3024182.8680809
LN04002,202401,26,2911628.5218855
LN04002,202401,27,3092431.5681377
LN04002,202401,28,3181179.6824019
LN04002,202401,29,5045599.0398539
LN04002,202401,30,5015653.3843306
LN04002,202403,23,0.0
LN04002,202403,24,38347.9308764
LN04002,202403,25,76935.2179124
LN04002,202403,28,77002.4125364
LN04002,202404,27,1499.455034
LN04002,202405,20,1440504.39976
LN04002,202405,21,3424832.3251158
LN04002,202405,22,3696430.8238618
LN04002,202405,23,3733247.4538738
LN04002,202405,24,4570876.4138738
LN04002,202405,25,5726184.761774
LN04002,202405,26,5726324.05063
LN04002,202406,19,6969.07
LN04002,202406,20,35697.33805419999
LN04002,202406,21,50536.157988199986
LN04002,202406,24,50547.42905319999
LN04002,202406,25,53886.16193319998
LN04002,202407,18,791719.73912
LN04002,202407,19,983161.8891200001
LN04002,202407,20,983161.8891200001
LN04002,202407,21,983457.1491200001
LN04002,202408,17,220748.36680000002
LN04002,202408,18,220748.36680000002
LN04002,202408,19,207926.80744960002
LN04002,202408,21,302931.4003136
LN04002,202408,22,352033.1880826
LN04002,202409,16,589756.5976
LN04002,202409,17,721146.3082419999
LN04002,202409,18,755139.135466
LN04002,202409,19,779096.165266
LN04002,202409,20,825910.9770739999
LN04002,202409,21,839425.851014
LN04002,202410,15,73395.61432
LN04002,202410,16,195859.091521
LN04002,202410,17,204130.355521
LN04002,202410,18,167697.924277
LN04002,202410,20,160262.662798
LN04002,202410,21,495364.177532
LN04002,202411,14,97034.48728
LN04002,202411,15,257882.283826
LN04002,202411,16,344585.981024
LN04002,202411,17,345406.955184
LN04002,202412,13,161824.852054
LN04002,202412,14,587246.6397838
LN04002,202412,15,593730.9661238
LN04002,202412,16,857603.7058462
LN04002,202412,17,872615.8655865
LN04002,202412,18,876177.291339
LN04002,202412,19,947657.9194054
LN04002,202501,12,32336.651315000003
LN04002,202501,13,237099.87105899997
LN04002,202501,14,162606.19618059997
LN04002,202501,15,1103858.0662446
LN04002,202501,16,1418467.4857966
LN04002,202501,17,2808384.8924864
LN04002,202502,11,104427.13144
LN04002,202502,12,188937.785173
LN04002,202502,13,232970.7727594
LN04002,202502,15,321238.8608714
LN04002,202502,17,311713.7083314
LN04002,202503,10,347978.29884339997
LN04002,202503,11,378872.5621984
LN04002,202503,12,523119.33303919993
LN04002,202503,14,886794.9118788
LN04002,202503,15,891038.1377613
LN04002,202503,16,1232665.2220643
LN04002,202504,9,715720.7641288
LN04002,202504,10,1575553.8678988
