PERIODO,RAM,RRC BEL,RRC BRUTO,RRC GTO,RRC IRR,RRC MR,RRC NETO,SONR BEL,SONR BRUTO,SONR IRR,SONR MR,SONR NETO,IRR/BEL,GTO/BEL,MR/BEL,chk,chk2
202206,RAM_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
202206,RAM_40,6916842.634577085,7956036.824879688,339641.8116442268,2618438.8581247856,699552.378658376,5337597.966754902,6084441.307554395,6465916.73131267,2370091.587411163,381475.4237582752,4095825.1439015055,0.3785598424684826,0.0491035909862063,0.10113752988413167,0.0,0.0
202206,RAM_50,14343317.614835637,16551315.21904317,578837.5738131539,530819.1891851623,1629160.0303943816,16020496.029858006,12957045.66457912,13336638.418101544,883606.2969014614,379592.7535224208,12453032.12120008,0.0370081178873236,0.04035590575045541,0.11358320816303352,1.862645149230957e-09,0.0
202206,RAM_60,57572528.11182351,66433488.3880548,3146300.88948265,11574732.788684549,5714659.3867486445,54858755.59937025,25914572.668894924,26247277.19279077,3747545.435131336,332704.5238958446,22499731.757659435,0.2010461094604508,0.05464934392617897,0.09926017797323444,-7.450580596923828e-09,7.450580596923828e-09
202206,RAM_71,6424438.648542609,6424438.648542609,0.0,1797053.141994408,0.0,4627385.506548202,0.0,0.0,0.0,0.0,0.0,0.27972142630735086,0.0,0.0,0.0,-9.313225746154785e-10
202206,RAM_73,9680054.62446549,9680054.62446549,0.0,2942387.71610058,0.0,6737666.908364911,0.0,0.0,0.0,0.0,0.0,0.3039639578751914,0.0,0.0,0.0,-9.313225746154785e-10
202206,RAM_80,9686676.470675878,11393568.366500624,418478.0738305365,723278.2104065993,1288413.8219942092,10670290.156094024,0.0,0.0,1.1563306414797376e-11,0.0,-1.1563306414797376e-11,0.0746673239883827,0.04320140918274497,0.13300886283283822,0.0,0.0
202206,RAM_90,5265362.138632153,5860637.615530932,194571.70143976,309850.23913227016,400703.7754590197,5550787.376398662,10048184.989049084,10295715.115245365,1781088.1521507003,247530.12619628207,8514626.963094665,0.0588468999803238,0.036953147061278155,0.07610184540186544,0.0,0.0
202207,RAM_10,18361636.28073036,19881512.163967278,657295.4465539764,1651143.8961625728,862580.4366829382,18230368.2678047,15063100.327561311,15322748.2570988,1477678.5695343425,259647.92953748535,13845069.68756446,0.08992357058588334,0.03579721526472975,0.046977318551297866,-3.725290298461914e-09,3.725290298461914e-09
202207,RAM_100,1289994.7693320103,1688281.559820455,348951.46444953006,289761.2377594217,49335.32603891447,1398520.3220610337,39511.80988675316,46943.449755925074,0.0,7431.639869171913,46943.449755925074,0.22462202533539488,0.2705061080443182,0.038244593863323545,-2.3283064365386963e-10,-2.3283064365386963e-10
202207,RAM_110,13402821.753116008,15179341.120485598,816404.7263119641,2794027.519079096,960114.6410576252,12385313.601406503,8996223.552002199,9246363.4088967,1481381.9954229812,250139.85689450268,7764981.41347372,0.20846561795313853,0.06091289889176949,0.07163526149517054,0.0,-1.862645149230957e-09
202207,RAM_30,1551602.1485468457,1984237.243770442,23201.636824374094,140327.36340153025,409433.4583992221,1843909.880368912,894311.4562973294,1096296.0402895503,288777.0274915777,201984.58399222104,807519.0127979727,0.09044029974626805,0.01495334151612487,0.263877862493731,0.0,-2.3283064365386963e-10
202207,RAM_34,5662344.630351722,7349420.508186577,84673.06188797108,0.0,1602402.815946883,7349420.508186577,5500679.199119954,6385331.29561058,-12568.06203530001,884652.0964906251,6397899.35764588,0.0,0.014953710417783513,0.28299280961415946,0.0,0.0
202207,RAM_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
202207,RAM_40,5606443.050985631,6737251.996306955,286807.2485831868,1956801.173229352,844001.6967381375,4780450.823077603,4371962.083918557,4931608.512665377,1526494.8420142813,559646.4287468201,3405113.6706510955,0.34902720948629634,0.051156722002690315,0.15054138409374537,0.0,-9.313225746154785e-10
202207,RAM_50,11669425.557639988,13812293.136436408,463073.647274906,905128.9358922732,1679793.9315215151,12907164.200544136,12620255.137850763,13219212.606936246,808985.4930116978,598957.4690854803,12410227.113924548,0.07756413813357627,0.03968264290196625,0.1439482966170303,0.0,0.0
202207,RAM_60,57264165.99697484,62148323.94487934,2631164.782493395,11465827.994951528,2252993.165411097,50682495.94992781,31257426.212271515,32156096.678714897,4250621.382829305,898670.4664433816,27905475.295885596,0.20022692717741225,0.04594784079510377,0.0393438571257655,0.0,0.0
202207,RAM_71,6129887.599815347,6129887.599815347,0.0,1837367.7762171824,0.0,4292519.823598165,0.0,0.0,0.0,0.0,0.0,0.2997392278893548,0.0,0.0,0.0,0.0
202207,RAM_73,11347367.895062516,11347367.895062516,0.0,3859809.171225679,0.0,7487558.723836837,0.0,0.0,0.0,0.0,0.0,0.3401501746413955,0.0,0.0,0.0,-9.313225746154785e-10
202207,RAM_80,11346896.04863819,12508464.82030782,476481.3506133794,768236.1540274817,685087.4210562502,11740228.666280337,0.0,0.0,0.0,0.0,0.0,0.06770452031414198,0.041992219596527006,0.06037663675772122,0.0,0.0
202207,RAM_90,7050880.811880603,8280100.317248287,235026.87377839768,536960.6838026578,994192.6315892864,7743139.633445629,9245751.69919362,9716196.866804829,1410395.0767583707,470445.16761120886,8305801.790046459,0.07615512134283832,0.03333298066567538,0.14100261486679652,0.0,0.0
202208,RAM_10,16511774.67383534,17664233.666944675,569023.0499622701,1477431.2924460862,583435.943147067,16186802.374498587,12775564.635211883,12945013.269490449,1154445.631280035,169448.63427856547,11790567.638210412,0.08947743786664149,0.03446165304471769,0.035334538816810715,3.725290298461914e-09,1.862645149230957e-09
202208,RAM_100,1427763.654235673,1862698.8780332815,386218.78946741327,317770.9162397236,48716.4343301958,1544927.9617935582,43025.51977838675,50226.25997855355,0.0,7200.740200166805,50226.25997855355,0.22256548925097583,0.27050610815147025,0.034120797364235504,4.656612873077393e-10,-2.3283064365386963e-10
202208,RAM_110,14719429.685948608,16484505.61876961,920031.2522340048,2456418.0284165377,845044.6805869972,14028087.590353072,9626661.99809365,9795752.62123198,1558061.3517216735,169090.62313832957,8237691.269510306,0.16688269048640328,0.06250454479987635,0.05741015097845059,0.0,0.0
202208,RAM_30,1674276.7450057587,2087281.7248500732,24374.874895746456,118095.12987012988,388630.1049485683,1969186.594979944,926037.069085349,1107348.5270463482,263778.651356289,181311.45796099925,843569.8756900593,0.07053501174306981,0.014558450368766615,0.23211820035595823,2.3283064365386963e-10,-6.984919309616089e-10
